clip,situation,description,players_in_frame_start,players_in_frame_end,players_in_frame_delta,players_in_frame_min,players_in_frame_max,ball_start_cell,ball_final_cell,zone_start,zone_end,ball_direction,ball_travel_m,ball_net_m,ball_apex_m,airborne_fraction,possession_start,possession_end,possession_changes,players_near_ball_start,players_near_ball_end,crowding_end,restart_seconds_into_clip,restart_visible_in_clip,shape,seed,match,start_frame,end_frame,camera_offset_x,camera_offset_y,same_play_as
clip_11,goalkeeper distribution,"Keeper releases the ball 0.1 s into the clip; net movement 22 m towards the red goal over 28 m of travel, finishing in the blue defensive third; lofted to 3.6 m; 3 players around it at the end (contested); nobody in possession at the end; 12 people in shot at the start and 13 at the end (+1).",12,13,1,12,14,B1,B2,blue defensive third,blue defensive third,towards the red goal,27.9,22.3,3.63,0.384,blue,loose,0,2,3,contested,0.12,true,wideL,324,wideL_s324,2080,2205,12.0,-7.0,
clip_12,open play,"Open play in the blue defensive third; net movement 12 m towards the blue goal over 36 m of travel, finishing in the blue defensive third; 2 players around it at the end (contested); nobody in possession at the end; 9 people in shot at the start and 13 at the end (+4).",9,13,4,6,12,C15,F12,blue defensive third,blue defensive third,towards the blue goal,36.4,12.0,0.34,0.0,loose,loose,0,1,2,contested,,,mid_r,328,mid_r_s328,165,290,-24.0,10.0,
clip_13,goalkeeper distribution,"Keeper releases the ball 0.5 s into the clip; net movement 14 m towards the red goal over 44 m of travel, finishing in the blue defensive third; lofted to 3.7 m; 3 players around it at the end (contested); nobody in possession at the end; 13 people in shot at the start and 14 at the end (+1).",13,14,1,6,14,B7,B9,blue defensive third,blue defensive third,towards the red goal,43.6,13.7,3.67,0.568,blue,loose,0,2,3,contested,0.52,true,boxL,329,boxL_s329,2361,2486,-6.0,-5.0,
clip_14,open play,"Open play in the blue defensive third; net movement 7 m across the pitch over 21 m of travel, finishing in the blue defensive third; 1 player around it at the end (isolated); red in possession at the end; 2 changes of possession; 16 people in shot at the start and 14 at the end (-2).",16,14,-2,12,16,E9,F7,blue defensive third,blue defensive third,across the pitch,21.2,6.8,0.15,0.0,red,red,2,1,1,isolated,,,boxL,338,boxL_s338,635,760,-6.0,6.0,
clip_15,corner kick,"Corner kick taken 0.0 s into the clip; net movement 51 m towards the blue goal over 66 m of travel, finishing in the middle third; lofted to 2.9 m; 1 player around it at the end (isolated); red in possession at the end; 13 people in shot at the start and 15 at the end (+2).",13,15,2,13,18,A12,C5,red defensive third,middle third,towards the blue goal,65.9,50.9,2.87,0.392,loose,red,0,1,1,isolated,0.0,true,flankR,337,flankR_s337,839,964,12.0,-5.0,
clip_16,corner kick,"Corner kick taken 0.0 s into the clip; net movement 21 m towards the blue goal over 52 m of travel, finishing in the red defensive third; lofted to 2.9 m; 3 players around it at the end (contested); red in possession at the end; 3 changes of possession; 14 people in shot at the start and 15 at the end (+1).",14,15,1,14,18,A12,A8,red defensive third,red defensive third,towards the blue goal,51.7,21.5,2.87,0.352,loose,red,3,1,3,contested,0.0,true,mid_even,323,mid_even_s323,2130,2255,6.0,-7.0,
clip_17,corner kick,"Corner kick taken 0.0 s into the clip; net movement 39 m towards the blue goal over 44 m of travel, finishing in the red defensive third; lofted to 2.9 m; 3 players around it at the end (contested); red in possession at the end; 2 changes of possession; 3 people in shot at the start and 16 at the end (+13).",3,16,13,3,17,E13,A9,red defensive third,red defensive third,towards the blue goal,43.9,38.7,2.87,0.248,loose,red,2,1,3,contested,0.0,true,mid_even,343,mid_even_s343,2386,2511,0.0,-9.0,
clip_18,open play,"Open play in the red defensive third; net movement 23 m towards the red goal over 30 m of travel, finishing in the red defensive third; 1 player around it at the end (isolated); blue in possession at the end; 14 people in shot at the start and 16 at the end (+2).",14,16,2,14,16,E14,E14,red defensive third,red defensive third,towards the red goal,29.5,22.6,0.3,0.0,blue,blue,0,2,1,isolated,,,mid_push,326,mid_push_s326,1760,1885,-12.0,6.0,
clip_19,kick-off,"Kick-off restart 0.2 s into the clip; net movement 22 m towards the red goal over 24 m of travel, finishing in the red defensive third; 1 player around it at the end (isolated); blue in possession at the end; 2 changes of possession; 13 people in shot at the start and 17 at the end (+4).",13,17,4,13,17,D6,C8,middle third,red defensive third,towards the red goal,24.3,21.7,0.58,0.048,blue,blue,2,4,1,isolated,0.2,true,mid_bal,307,mid_bal_s307,12,137,6.0,3.0,
clip_20,open play,"Open play in the blue defensive third; net movement 13 m towards the red goal over 24 m of travel, finishing in the blue defensive third; 4 players around it at the end (contested); nobody in possession at the end; 2 changes of possession; 14 people in shot at the start and 17 at the end (+3).",14,17,3,14,17,A3,B3,blue defensive third,blue defensive third,towards the red goal,23.6,12.8,0.36,0.0,red,loose,2,2,4,contested,,,mid_push,341,mid_push_s341,1610,1735,16.0,-9.0,
clip_21,kick-off,"Kick-off restart 0.2 s into the clip; net movement 16 m towards the red goal over 21 m of travel, finishing in the middle third; 3 players around it at the end (contested); blue in possession at the end; 1 change of possession; 12 people in shot at the start and 18 at the end (+6).",12,18,6,12,18,B13,B14,middle third,middle third,towards the red goal,21.1,16.4,0.15,0.0,loose,blue,1,4,3,contested,0.16,true,mid_bal,347,mid_bal_s347,5,130,-16.0,-7.0,
clip_22,open play,"Open play in the red defensive third; net movement 6 m across the pitch over 20 m of travel, finishing in the red defensive third; 2 players around it at the end (contested); blue in possession at the end; 2 changes of possession; 14 people in shot at the start and 18 at the end (+4).",14,18,4,14,18,E11,E10,red defensive third,red defensive third,across the pitch,20.3,5.7,0.16,0.0,blue,blue,2,2,2,contested,,,mid_r,327,mid_r_s327,350,475,0.0,8.0,
clip_23,kick-off,"Kick-off restart 0.2 s into the clip; net movement 27 m towards the red goal over 29 m of travel, finishing in the red defensive third; 2 players around it at the end (contested); blue in possession at the end; 1 change of possession; 13 people in shot at the start and 19 at the end (+6).",13,19,6,13,20,C10,C12,middle third,red defensive third,towards the red goal,29.4,27.2,0.16,0.0,loose,blue,1,4,2,contested,0.16,true,mid_even2,349,mid_even2_s349,5,130,-6.0,-2.0,
clip_24,open play,"Open play in the blue defensive third; net movement 30 m towards the red goal over 34 m of travel, finishing in the middle third; 2 players around it at the end (contested); blue in possession at the end; 14 people in shot at the start and 19 at the end (+5).",14,19,5,14,19,E9,E11,blue defensive third,middle third,towards the red goal,34.1,30.0,0.3,0.0,blue,blue,0,4,2,contested,,,mid_r,303,mid_r_s303,130,255,-6.0,10.0,
