clip,situation,description,players_in_frame_start,players_in_frame_end,players_in_frame_delta,players_in_frame_min,players_in_frame_max,ball_start_cell,ball_final_cell,zone_start,zone_end,ball_direction,ball_travel_m,ball_net_m,ball_apex_m,airborne_fraction,possession_start,possession_end,possession_changes,players_near_ball_start,players_near_ball_end,crowding_end,restart_seconds_into_clip,restart_visible_in_clip,shape,seed,match,start_frame,end_frame,camera_offset_x,camera_offset_y
clip_13,corner kick,"Corner kick taken 0.1 s into the clip; net movement 39 m towards the red goal over 49 m of travel, finishing in the blue defensive third; lofted to 2.8 m; 4 players around it at the end (contested); red in possession at the end; 1 change of possession.",,14,,,,B5,D13,blue defensive third,blue defensive third,towards the red goal,49.5,39.5,2.85,0.376,loose,red,1,1,4,contested,0.12,true,mid_even2,334,mid_even2_s334,1854,1979,-12.0,6.0
clip_14,corner kick,"Corner kick taken 0.4 s into the clip; net movement 19 m towards the blue goal over 50 m of travel, finishing in the red defensive third; lofted to 3.2 m; 1 player around it at the end (isolated); blue in possession at the end; 1 change of possession.",,14,,,,A12,A8,red defensive third,red defensive third,towards the blue goal,49.6,18.5,3.2,0.312,loose,blue,1,1,1,isolated,0.4,true,mid_r,339,mid_r_s339,740,865,12.0,-5.0
clip_15,open play,"Open play in the middle third; net movement 29 m towards the blue goal over 30 m of travel, finishing in the blue defensive third; 1 player around it at the end (isolated); red in possession at the end.",,15,,,,D7,E7,middle third,blue defensive third,towards the blue goal,30.4,28.5,0.16,0.0,red,red,0,1,1,isolated,,,boxL,308,boxL_s308,235,360,0.0,6.0
clip_16,open play,"Open play in the red defensive third; net movement 8 m towards the red goal over 23 m of travel, finishing in the red defensive third; 2 players around it at the end (contested); blue in possession at the end; 17 people in shot at the start and 15 at the end (-2).",17,15,-2,15,17,E10,F12,red defensive third,red defensive third,towards the red goal,22.9,7.6,0.15,0.0,blue,blue,0,3,2,contested,,,flankL,309,flankL_s309,170,295,0.0,10.0
clip_17,open play,"Open play in the middle third; net movement 25 m towards the red goal over 29 m of travel, finishing in the middle third; 2 players around it at the end (contested); blue in possession at the end.",,16,,,,B13,A13,middle third,middle third,towards the red goal,29.4,24.7,0.57,0.008,loose,blue,0,2,2,contested,,,flankL,313,flankL_s313,1310,1435,-16.0,-7.0
clip_18,open play,"Open play in the middle third; net movement 22 m towards the blue goal over 26 m of travel, finishing in the blue defensive third; 1 player around it at the end (isolated); red in possession at the end.",,16,,,,D2,F2,middle third,blue defensive third,towards the blue goal,25.8,21.9,0.15,0.0,red,red,0,3,1,isolated,,,wideL,347,wideL_s347,1070,1195,12.0,10.0
clip_19,kick-off,"Kick-off restart 0.2 s into the clip; net movement 19 m towards the blue goal over 21 m of travel, finishing in the blue defensive third; 1 player around it at the end (isolated); red in possession at the end; 3 changes of possession.",,17,,,,E6,E5,middle third,blue defensive third,towards the blue goal,20.9,18.7,0.18,0.0,loose,red,3,4,1,isolated,0.2,true,mid_even,316,mid_even_s316,985,1110,6.0,10.0
clip_20,open play,"Open play in the blue defensive third; net movement 2 m across the pitch over 23 m of travel, finishing in the blue defensive third; 3 players around it at the end (contested); red in possession at the end; 15 people in shot at the start and 17 at the end (+2).",15,17,2,14,17,B1,A2,blue defensive third,blue defensive third,across the pitch,22.8,2.3,0.22,0.0,red,red,0,2,3,contested,,,countR,343,countR_s343,1005,1130,16.0,-9.0
clip_21,kick-off,"Kick-off restart 0.2 s into the clip; net movement 31 m towards the blue goal over 32 m of travel, finishing in the blue defensive third; 2 players around it at the end (contested); red in possession at the end; 1 change of possession.",,18,,,,D4,D1,middle third,blue defensive third,towards the blue goal,31.6,31.2,0.16,0.0,loose,red,1,4,2,contested,0.2,true,mid_even2,316,mid_even2_s316,6,131,12.0,6.0
clip_22,open play,"Open play in the blue defensive third; net movement 9 m towards the blue goal over 27 m of travel, finishing in the blue defensive third; 2 players around it at the end (contested); red in possession at the end.",,18,,,,B3,B1,blue defensive third,blue defensive third,towards the blue goal,27.2,8.8,0.2,0.0,red,red,0,3,2,contested,,,wideR,337,wideR_s337,155,280,16.0,-5.0
clip_23,kick-off,"Kick-off restart 0.2 s into the clip; net movement 16 m towards the red goal over 21 m of travel, finishing in the middle third; 2 players around it at the end (contested); blue in possession at the end; 5 changes of possession.",,19,,,,C12,C13,middle third,middle third,towards the red goal,21.3,16.0,0.37,0.0,loose,blue,5,4,2,contested,0.2,true,mid_bal,324,mid_bal_s324,1471,1596,-12.0,0.0
clip_24,kick-off,"Kick-off restart 0.0 s into the clip; net movement 24 m towards the red goal over 31 m of travel, finishing in the middle third; 2 players around it at the end (contested); blue in possession at the end; 1 change of possession.",,19,,,,B10,A12,middle third,middle third,towards the red goal,31.2,24.4,0.18,0.0,red,blue,1,4,2,contested,0.0,true,mid_even2,305,mid_even2_s305,682,807,-6.0,-9.0
